Firm Name
Ashish Vaswani
Betaworks Ventures
FPV Ventures
Sebastien Borget
Cornerstone Venture Capital
VistaLabs
OnBlock Ventures
Cheyenne Partners
Kevin Carter
Evergy Ventures
FactoryHQ
Hefei Hi-Tech VC
Black Angel Group
Blumberg Capital
Cherubic Ventures
NTTVC
4490 Ventures
NOW IB Capital
CCIX Global
Breyer Capital
Oxford Capital Partners
Third Point Ventures
Expa
Team Ignite Ventures
Cherry Crypto
Boldstart Ventures
Fin Capital
Disruptive AI
Zentry Labs
Nsitexe
Amazon Alexa Fund
Fresh.Fund
Sora Ventures
Sahil Lavingia
Vine Ventures
bizyugo
Hatcher+
Rodolphe Saadé
Bryan Helmig
BITKRAFT Ventures
Arche Fund
Samvit Ramadurgam
Crowd Venture Capital
Silicon Valley CISO Investments
Starlight Ventures
Diagnostic
Clément Delangue
Lupa X Capital
Shima Capital
NFX
Taisu Ventures
Next World Capital
Brighter Capital
MH Ventures
Ahren Innovation Capital
VentureIsrael
Recursion Venture Capital
Hummer Winblad Venture Partners
TIAA Ventures
Amiti Ventures
Paul Taylor
Earl Grey Capital
Datadog
SevenX Ventures
Triangle Peak Partners
Red Cedar Ventures
Binny Bansal
Arrington Capital
CCK Ventures
8vdX
Hitachi Ventures
GFS Ventures
Kangaroo Capital
State Of Mind Ventures
Madrona Venture Group
Ground Game Ventures
Mango Capital
Peech Capital
Goldman Sachs Growth Equity
Arash Ferdowsi
Mercato Partners
Citi Ventures
Woomi
WorldQuant Ventures
Jeroen De Wit
Tallwood Venture Capital
Day One Ventures
Plug and Play Tech Center
Spark Digital Capital
Trajectory Ventures
Highland Europe
Seedcamp
Geodesic Capital
Cinchblock
Arya Ventures
Capricorn Investment Group
SeaChange Fund
Craft Ventures
1517 Fund
Jordan Tigani
Eight Roads
Metasense DAO
Alliance DAO
Heritage Provider Network
Clocktower Ventures
TIS INTEC Group
Aparna Chennapragada
VGC Partners
Grove Ventures
Threshold Ventures
Wolfram Drescher
Florida Funders
Upfront Ventures
Celgene
Craig Rosen
Labs/02
Hash Global
Jump Crypto
Michael Kamleitner
NFT Technologies
Boost VC
PROOF
Ben Tossell
UniX Gaming
Advent International
ABCDE Capital
Hash Global Capital
Lin Dai
Evan Luthra
Impossible Finance
BR Capital
Han Lee
CryptoDiffer
Block 3 Ventures
Foundry Group
Murshid Ali
Caleb Sima
R-930 Capital
Liquid 2 Ventures
Solar Eco Fund
GoldenTree Asset Management
BlockTower Capital
SOL Big Brain
Grit Ventures.
Point Nine Capital
Richard Ma
LDV Capital
Mitch Wainer
Mana Ventures
Carl Runefelt
UG Ventures
F Ventures
Quattro
EXOR Seeds
Siqi Chen
Concorde Investment Management
Jeffrey Zirlin
Nova Capital
500 Global
Kortex Ventures
Almora Capital
Samsung Catalyst Fund
IOSG Ventures
SCB 10X
4Founders Capital
Charles Songhurst
Cambridge Innovation Capital
China Investment & Development
Three M Capital
83North
Mellanox Technologies
Irwan Bello
General Catalyst
Impatient Ventures
Oakhouse Partners
BLH Venture Partners
CCL
Amadeus Capital Partners
Qudit
Anthony Pompliano
Punja Global Ventures
Luna Tong
Etienne vantKruys
Hidden Gems Capital
Planetarium Labs
Tyche Partners
EDP Ventures
GameFi Ventures
Camford Capital
Edward Lando
LongHash Ventures
Chimera Capital
Pegasus Tech Ventures
Bold Capital Partners
Bartek Pucek
Wedbush Ventures
Together Fund
Break Off Capital
Biz Stone
BlackDragon
b2venture
Mark Cuban
Inventus Capital Partners
Blackstone Innovations Investments
Atmos Ventures
Raptor Capital
Inspire Corp
Dermot O'Riordan
Contango Digital Assets
Columbus Nova Technology Partners
DCI Capital
Ava Labs
INCE Capital
Opulentia
KuCoin
Purple Matter
Krypto Playboy Capital
Harel-Hertz Investment House
First Cheque
Moxxie Ventures
Republic Capital
La Famiglia
Youbi Capital
MassMutual Ventures
Quansight Initiate
Skynet Trading
Howie Liu
Hawke Ventures
Freddie Andrewes
Automatic Venture Group
Kyle Parrish
Version One Ventures
Zscaler
GFR Fund
Right Side Capital Management
Marker
Maninder Gulati
Wipro Ventures
S-UBG
Lilly Asia Ventures
Ivan Zhang
Seven Hound Ventures
Velvet Sea Ventures
Amazon.com
New Forge
Spencer Noon
Inovia Capital
FundersClub
Sequoia Capital
Energy Impact Partners
WWVentures
Think +
Ruby Capital
Criterion VC
Archetype
Resolute Ventures
Engineering Capital
Wealth Union
Orange DAO
Anthony Goldbloom
Hachen Shen
Outbound Capital
Alvin Tse
Black Venture
Sierra Ventures
Amplify Partners
Rahul Vohra
CoreNest
Infinity Capital
Alfa Catalyst
Axel Springer Porsche
Storm Ventures
Alkeon Capital Management
Ontario Teachers' Pension Plan
KDDI
Amaury Sepulchre
Victor Charlie
SNZ Holding
Makers Fund
Operator Partners
Winklevoss Capital Management
Invariantes Fund
The Chernin Group
Bessemer Venture Partners
31Ventures
K5 Ventures
Republic Real Estate
Alpha Wave Global
Valor Equity Partners
Dhruv Agarwala
Blackrock Innovation Capital Group
Axeleo Capital
Ocado Group
Sparking Capital
UpWest
NGP Capital
Forward Investments
Folius Ventures
SaaS Ventures
Elaia Partners
Thomvest Ventures
Silver Lake
Nat Friedman
StageOne Ventures
Maven Ventures
Andreas Werner
Altair
Lunar Ventures
Infinity Ventures Crypto
OSS Capital
QDNL Participations
Assembly Partners
Spacetime
Framework Ventures
Nancy Wang
Southern Cross Venture Partners
Krypital Group
Bell Partnership
Work-Bench
Thomas Dohmke
Sandy Peng
Wild Sloths
BlackRock Private Equity Partners
Millennium Technology Value Partners
Nikil Viswanathan
Salesforce Ventures
StartX
SemperVirens Venture Capital
CoinGecko
Sybo Games
Vento
Ghaf Capital Partners
Balaji Srinivasan
Happiness Capital
SpringWind Ventures
Teramips Technologies
Mantis VC
Emergent Ventures
Wasabi Ventures
Crush Ventures
Riot Ventures
TokenHunter
Hanfield Venture Partners
GDP Venture
Untapped Ventures
Peach.xyz
Newlab
Firebolt Ventures
R-Squared Ventures
DAO Maker
PathDAO
Kings Arms Yard VCT
Agility Ventures
Porsche Ventures
Yuexiu Financial Holdings
Horizons Ventures
Alpha Square Group
Squadra Ventures
David Bellini
Redline DAO
Gains Associates
Crystal Venture Partners
Matterwave Ventures
Vespertine Capital
Michael Heinrich
Magnus Capital
Lightspeed India Partners
Insight Partners
Ridge Ventures
Discovery Capital Management
Sanabil Investments
Stateless Ventures
Race Capital
MassVentures
Comfy Capital
Incuba Alpha
Kieran Warwick
Bek Ventures
Warner Music Group
Rarestone Capital
Paul Buchheit
Red Swiss Venture Capital
AlphaCoin Fund
Peterson Partners
SoftBank Ventures Asia
Browder Capital
AXA Venture Partners
Adam Slutskin
Vidit Aatrey
IVP
Sandeep Nailwal
Alliance Venture
Evan Rapoport
Davidovs Venture Collective
Flat Capital
Decisive Point
Disruptive Technologies Venture Capital
Vitalbridge Capital
CSP DAO
Aflac Ventures
Connetic Ventures
Soleio Cuervo
Join Capital
Luxembourg Future Fund
SweeperDAO
Founder Collective
Green Bay Ventures
Holly Liu
BTC12 Capital
Triple S Ventures
London Real Ventures
Mergus Ventures
Accel
ParaFi Capital
BIM Ventures
PSL Ventures
Venrock
Kubera Venture Capital
Global Reserve Group
Zetta Venture Partners
Kathy Wang
Wittington Ventures
Axia8 Ventures
Bread & Butter Ventures
Telesystem
Beat Ventures
Basics Capital
Inveo Ventures
EQT Ventures
Baidu Ventures
Fomocraft Ventures
Quantstamp
Danish Chaudhry
Emergence
Joel Fulton
Giuseppe Stuto
Hillhouse Investment Group
Wellington Management
Qiming Venture Partners
Accelerated Digital Ventures
Unilayer Capital
Detong Capital
5Y Capital
Kevin Sandhu
Stena Investment
SpaceShip Dao
Texas Atlantic Capital
QuestMark Partners
Cristina Stenbeck
Bain Capital Ventures
Keith Rabois
Transform VC
Parkwalk Advisors
Madrona Venture Labs
C Squared Ventures
LG Electronics
Bryan Baum
Playground Global
Morgan Stanley
PSR Crypto
Decacorn Capital
UNIIQ
Metavision International
Timothy Draper
Emerald Development Managers
Capital TEN
Digital Consensus Fund
MPCi
Tamar Yehoshua
Gobi Partners
Flying Fish Partners
Launchbay Capital
Axevil Capital
OpenOcean
Chestnut Street Ventures
DaouKiwoom Group
Visible Ventures
Sam Gutmann
Andrew Steinwold
SGInnovate
AvalonBay Communities
Hiten Shah
Shashwat Gupta
Glory Ventures
CRV
Firestreak Ventures
Hypersphere Ventures
Nebraska Angels
Very Serious Ventures
Ventioneers
Eric Schmidt
Waveline Investments
Necessary Ventures
Justin Mateen
10D
Westchester Angels
Lemnos
Atomic Labs
National Grid Partners
Good Games Labs
SVQUAD
Oktogon Ventures
Sheva Ventures Fund
PeopleTech Partners
Mesco
Polygon Studios
Sofina
Neha Narkhede
Workday Ventures
Z Venture Capital
New York Life Ventures
Follow [the] Seed
Amjad Masad
Republic
Jeremy Levine
WelinderShi Capital
FundFire
Pillar VC
CRC Capital
Massive VC
Vesey Ventures
Inception Capital
RippleX
SC Ventures
Compound
Seed4Soft
Hike Ventures
Curiosity Cap
Verissimo Ventures
Raydium
Mai Fujimoto
Steve Pugh
Nanjing Metaverse Venture Capital Partnership
Mathias Geeroms
Lemniscap
Atlantic Labs
Distributed Global
Andrew Daniels
Hot Labs
First Rays Venture Partners
Bristol Private Equity Club
Tiny Supercomputer Investment Company
Bitcoin Frontier Fund
Eniac Ventures
Evolution VC Partners
ServiceNow Ventures
Unbound Advisors
NxGen Ventures
Aza Ventures
Partnership Fund for New York City
Bonfire Union
Anatoly Yakovenko
DJ Patil
X21 Digital
Sangha Capital
S16VC
Aussie Capital
Fidelity Investments
Greg Brockman
Unity Growth Fund
Zee Prime Capital
Flare Capital Partners
BDMI
Nina Capital
LPI DAO
GM Ventures
Crypto Gaming United
Summit Peak Investments
Supercell Ventures
XRC Ventures
Austen Allred
Alumni Ventures
Navigare Ventures
ETF Partners
PagsGroup
Martlet Capital
Abhay Parasnis
Future Ventures
IQ Protocol
Dassault Systemes
OVO Fund
CRIT Ventures
Great Oaks Venture Capital
Jack Altman
Animoca Brands
Jay Putera
Nelson Ryan
Web3.com Ventures
Onebit Ventures
2xN
UpHonest Capital
Collab+Currency
Gustave Arentoft
11.2 Capital
Abstract Ventures
Freestyle Capital
First Momentum Ventures
Adams Street Partners
Gemini Frontier Fund
Verve Ventures
ACTAI Ventures
Chris Carvalho
JUMP Investors
Formless Capital
Ascend Venture Capital
Electric Capital
Torch Capital
Shunwei Capital
Lombardstreet Ventures
Surge
Ed Lu
Marianna Tessel
Red Sea Ventures
Sinovation Ventures
Slow Ventures
Bloomberg Beta
RR2 Capital
Tensor Ventures
Jawed Karim
Spruce House Investment Management
Overline
360 Capital
Nitzan Shapira
Market One Capital
20VC
Cambridge Enterprise
Exor
Adam D'Angelo
Drops Ventures
VR Ventures
Golden Gate Ventures
Supernova Invest
Crescent Cove Advisors
Blackbird Ventures
General Advance
bp Ventures
The LAO
Robot Ventures
Elevation Capital
BeakerDAO
3cubed Ventures
Deerfield Management
Sorenson Ventures
Wemade Entertainment
Rebel Fund
ArkStream Capital
Mercedes-Benz Group
Vessel Capital
Floem Capital
GBV Capital
Ivan Kirigin
Ludlow Ventures
Kevin Lin
Hearst Ventures
Disruptive
Nepenthe Capital
Extra Watts
Icetea Labs Accelerator Program
eLab Ventures
Kosmos Ventures
Naval Ravikant
Mistral Venture Partners
R3i Ventures
D1Ventures
Shenzhen Nanshan Venture Capital
Tirta Ventures
Moore Capital Management
Tamar Menteshashvili
IDG Capital
Atlantic Bridge Capital
Chris Ye
Susanna Campbell
BDC Capital
Unusual Ventures
Skybox Datacenters
Lightspeed Ventures
Clear Ventures
Crypkit
Mandeep Singh
Ram Shriram
Ryan Hoover
Joseph Speiser
Humbition
Stealth Capital
Rho Ventures
Oxford Science Enterprises
Spider Capital
Castle Island Ventures
RRE Ventures
RiverPark Ventures
XYZ Venture Capital
BlockchainSpace
OCV Partners
Docomo Innovations
DSC Investment
CETC Fund
Battery Ventures
SPARX Group Company
Do Kwon
Carthona Capital
LVT Capital
Michael Fertik
EDBI
Everse Capital
Baboon VC
Peled Ventures
Olima Ventures
Atomico
Jason Fang
Silvertech Ventures
Tenzor Capital
Capital 2B
TIME Ventures
Waverley Capital
Invus Opportunities
Sky9 Capital
Compute Ventures
GlobalFoundries
RenGen
Incubate Fund US
JRR Group
Rsquared
Dreamboat Capital
Terra Nova Ventures
Coinflipcanada Coinflipcanada
EQT Life Sciences
Icehouse Ventures
Curiosity VC
Embedding VC
Net Jacobsson
Christopher Golda
Divergence Ventures
Cisco Investments
Hoxton Ventures
Synchrony Ventures
Peter Thiel
The Hive
Sam Parr
WRF Capital
Microsoft
Wing Venture Capital
Arcanum Ventures
Black Edge Capital
3Commas
Caruso Ventures
First Ascent Ventures
Flamingo DAO
SRI International
PKO Investments
Newable Partnership
Stoked Capital
Megazone Cloud
Green Pine Capital Partners
Kaiser Foundation Hospitals
Duke Capital Partners
Oddiyana Ventures
Thomas Staubli
Scott Roberts
Julian Capital
Smrti Labs
Jay Simons
Ullas Naik
Seven Seven Six
SignalFire
Patrick Lütjens
Binance Labs
Avocado IDO
Credo Ventures
Tencent Holdings
WndrCo
John Doerr
ISTARI
Emerging Ventures
Primary Venture Partners
Amplifier
Big Brain Holdings
515 Ventures
Protocol Labs
Kube VC
Spartan
BMW i Ventures
THG Ventures
Oliver Cameron
SineWave Ventures
Counterpoint Global
Naver D2 Startup Factory
Oak HC/FT
CRT Labs
Northzone Ventures
Navitas Capital
Kevin Durant
Grotech Ventures
Macquarie Group
PJC
Phoenix Contact Innovation Ventures
GuideStar Ventures
Angelone Capital
Phoenix Court
Tekfen Ventures
The General Partnership
McRock Capital
Regain Ventures
ATMA Capital
Reform Ventures
